Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
124.0;2020-07-17 12:10:25;45.50968333;-73.64273667;4;37.0;250.13888888888889;24.11666666666666;34.8;24.11666666666666;0.8540277777777778;0.8540277777777778;0.8861915460831289;7.790525381146365;2.7230769230769236;-2.2045454545454546;6.950833333333335;0.0;0.972972972972973;0.02702702702702703;0.0;0.0
125.0;2020-07-17 12:11:02;45.51311667;-73.64310167;4;68.0;248.24999999999997;13.14264705882353;31.7;19.428260869565218;0.5727941176470592;0.5727941176470592;0.633083181887469;12.2784888488318;2.516666666666667;-2.015;3.6473529411764716;0.3235294117647059;0.5588235294117647;0.08823529411764706;0.35294117647058826;0.0
126.0;2020-07-17 12:12:10;45.516515000000005;-73.64216333;4;35.0;246.6111111111111;25.36571428571428;31.7;25.36571428571428;0.8285714285714287;0.8285714285714287;0.6222782754530648;3.7396872201029963;1.946666666666667;-1.107142857142857;2.946571428571428;0.0;0.8285714285714286;0.17142857142857143;0.0;0.0
127.0;2020-07-17 12:12:45;45.51789;-73.63747833;4;36.0;254.36111111111111;25.436111111111106;35.4;25.436111111111106;0.845;0.845;0.8456730202287744;9.1931077530251;2.6545454545454543;-1.568421052631579;4.306111111111113;0.0;0.8333333333333334;0.1388888888888889;0.027777777777777776;0.0
128.0;2020-07-17 12:13:21;45.51925667;-73.63276167;4;70.0;251.2777777777777;12.922857142857143;31.7;16.44727272727273;0.700642857142857;0.700642857142857;0.6388786153043219;9.435949933033575;2.037931034482759;-2.4904761904761905;4.5100000000000025;0.21428571428571427;0.7142857142857143;0.04285714285714286;0.24285714285714285;0.0
129.0;2020-07-17 12:14:31;45.51902333;-73.62893167;4;35.0;249.74999999999997;25.688571428571436;35.4;25.688571428571436;0.5527142857142859;0.5527142857142859;0.5065081482085758;8.050274800883997;1.55;-1.8363636363636362;3.3857142857142852;0.0;0.8571428571428571;0.14285714285714285;0.0;0.0
130.0;2020-07-17 12:15:06;45.52217667;-73.62701333;4;86.0;250.83333333333331;10.499999999999998;26.1;12.899999999999997;0.3911046511627912;0.3911046511627912;0.3698182392686429;7.854140908575849;2.0800000000000005;-1.1921052631578948;1.9973255813953492;0.18604651162790697;0.6744186046511628;0.023255813953488372;0.3023255813953488;0.0
131.0;2020-07-17 12:16:32;45.52544333;-73.62516;4;150.0;247.52777777777774;5.940666666666667;27.3;12.914492753623188;0.36503333333333404;0.36503333333333404;0.4516117655696038;8.665081484698531;2.256666666666667;-1.741935483870968;2.2168666666666677;0.54;0.4066666666666667;0.013333333333333334;0.58;0.0
132.0;2020-07-17 12:19:02;45.52859667;-73.62361333;4;53.0;250.49999999999997;17.015094339622642;26.7;17.015094339622642;0.5273584905660378;0.5273584905660378;0.43987498636367917;8.708625172481305;1.7727272727272732;-1.5111111111111113;3.0588679245283035;0.0;0.7547169811320755;0.16981132075471697;0.07547169811320754;0.0
133.0;2020-07-17 12:19:55;45.52997333;-73.62838333;4;65.0;244.22222222222226;13.7375;39.1;23.13684210526316;0.615625;0.615625;0.7457421465938139;14.616380243705054;2.447058823529413;-1.7611111111111113;3.295468750000002;0.4153846153846154;0.5384615384615384;0.03076923076923077;0.4307692307692308;0.0
134.0;2020-07-17 12:21:00;45.53132833;-73.632995;4;28.0;234.5555555555555;30.157142857142855;45.4;30.157142857142855;1.1623214285714287;1.1623214285714287;0.9725258086100841;10.188425843280262;2.5266666666666664;-2.3249999999999997;7.58;0.0;0.9642857142857143;0.03571428571428571;0.0;0.0
135.0;2020-07-17 12:21:29;45.533705;-73.63434000000001;4;38.0;263.7222222222222;24.41621621621622;46.0;27.37575757575758;0.9868918918918917;0.9868918918918917;0.9061221950887377;16.24365711274393;2.969230769230769;-2.4894736842105263;8.35756756756757;0.10526315789473684;0.868421052631579;0.02631578947368421;0.10526315789473684;0.0
136.0;2020-07-17 12:22:06;45.53698;-73.63244167;4;38.0;251.16666666666666;23.794736842105262;37.9;23.794736842105262;0.6923684210526315;0.6923684210526315;0.5842825779258781;8.670794326542437;1.5928571428571427;-1.3904761904761909;2.720263157894736;0.0;0.9210526315789473;0.05263157894736842;0.02631578947368421;0.0
137.0;2020-07-17 12:22:44;45.538335;-73.62929167;4;25.0;237.8888888888889;34.256;37.9;34.256;0.9722;0.9722;0.34657875487879136;1.9689421863867227;1.2000000000000002;-0.85;0.9396;0.0;0.68;0.32;0.0;0.0
138.0;2020-07-17 12:23:10;45.53695;-73.624575;4;51.0;269.6666666666667;18.634;40.4;21.667441860465114;0.5093;0.5093;0.6605934329627182;12.65778150597731;3.4555555555555557;-1.984615384615385;5.143800000000002;0.13725490196078433;0.7058823529411765;0.11764705882352941;0.17647058823529413;0.0
139.0;2020-07-17 12:24:00;45.535415;-73.62010500000001;4;66.0;249.80555555555554;13.478125;36.0;19.604545454545455;0.7019531250000003;0.7019531250000003;0.8086077674480878;12.60040902271361;2.8421052631578942;-2.026315789473684;4.4535937500000005;0.30303030303030304;0.6060606060606061;0.030303030303030304;0.36363636363636365;0.0
140.0;2020-07-17 12:25:06;45.53325167;-73.61704333;4;47.0;250.72222222222211;19.204255319148935;31.1;19.62173913043478;0.5029787234042552;0.5029787234042552;0.44426742286119314;8.444472270864237;1.3666666666666667;-2.104347826086957;3.8253191489361718;0.02127659574468085;0.8085106382978723;0.1702127659574468;0.02127659574468085;0.0
141.0;2020-07-17 12:25:53;45.53153167;-73.61314333;4;660.0;242.52777777777777;19.8;31.1;21.78;0.8814772727272732;0.8814772727272732;0.7533541891800825;10.530465216428883;2.480000000000001;-0.8277777777777776;3.0479545454545445;0.9378787878787879;0.051515151515151514;0.010606060606060607;0.9378787878787879;0.0
142.0;2020-07-17 12:36:53;45.529645;-73.60889667;4;29.0;249.11111111111114;30.92413793103448;32.3;30.92413793103448;0.7731034482758619;0.7731034482758619;0.6092404723932664;1.0510726400117543;1.0875;-0.6142857142857142;0.46482758620689646;0.0;0.5172413793103449;0.4827586206896552;0.0;0.0
143.0;2020-07-17 12:37:22;45.527195;-73.60525667;4;75.0;257.9166666666666;12.38;31.1;17.855769230769234;0.5522000000000001;0.5522000000000001;0.4673691752201315;11.496403667986668;1.6315789473684212;-1.5227272727272727;1.6699999999999997;0.30666666666666664;0.5466666666666666;0.09333333333333334;0.36;0.0
144.0;2020-07-17 12:38:37;45.52510833;-73.60091333;4;30.0;245.05555555555554;29.41379310344827;31.1;29.41379310344827;0.5079310344827587;0.5079310344827587;0.23135670218370638;0.8361152252834174;0.9714285714285713;-0.7999999999999999;0.506206896551724;0.0;0.5666666666666667;0.43333333333333335;0.0;0.0
145.0;2020-07-17 12:39:07;45.52319;-73.59673833;4;72.0;250.16666666666657;12.508333333333336;31.1;20.944186046511632;0.46152777777777776;0.46152777777777776;0.4381343601309837;12.32746561344643;2.3923076923076922;-1.8095238095238089;3.496805555555556;0.4027777777777778;0.4722222222222222;0.09722222222222222;0.4305555555555556;0.0
146.0;2020-07-17 12:40:19;45.52130167;-73.59262;4;48.0;250.88888888888894;18.816666666666666;28.0;18.816666666666666;0.5442708333333333;0.5442708333333333;0.40857431104004077;6.762044677976504;2.08;-1.4950000000000006;2.9606250000000003;0.0;0.7291666666666666;0.22916666666666666;0.041666666666666664;0.0
147.0;2020-07-17 12:41:07;45.51933;-73.588375;4;35.0;250.8055555555556;25.797142857142855;35.4;25.797142857142855;0.9895714285714281;0.9895714285714281;0.6777605548775314;7.877275048192361;2.0;-1.15;2.3968571428571424;0.0;0.7714285714285715;0.22857142857142856;0.0;0.0
148.0;2020-07-17 12:41:42;45.51644;-73.58971167;4;121.0;247.6388888888889;7.367768595041326;31.1;16.820754716981142;0.6637603305785125;0.6637603305785125;0.7809001966191901;10.279236473558669;2.7;-2.3000000000000003;3.00206611570248;0.5619834710743802;0.3884297520661157;0.03305785123966942;0.5785123966942148;0.0
149.0;2020-07-17 12:43:43;45.51377;-73.58923167;4;26.0;246.3611111111111;34.11153846153845;42.9;34.11153846153845;2.3546153846153848;2.3546153846153848;0.5170395015410776;6.7724339449315805;1.46;-0.6333333333333334;1.4949999999999999;0.0;0.8076923076923077;0.19230769230769232;0.0;0.0
150.0;2020-07-17 12:44:09;45.51353167;-73.593245;4;26.0;256.7777777777778;35.55384615384615;42.3;35.55384615384615;1.8653846153846154;1.8653846153846154;0.3253488069039845;4.327976965671681;0.95;-0.8823529411764703;0.6534615384615384;0.0;0.7307692307692307;0.2692307692307692;0.0;0.0
151.0;2020-07-17 12:44:35;45.51157333;-73.59647667;4;28.0;252.13888888888894;32.417857142857144;36.7;32.417857142857144;2.1966071428571428;2.1966071428571428;0.6373673479582918;2.658188407255138;1.06;-1.1800000000000002;1.1042857142857143;0.0;0.7142857142857143;0.2857142857142857;0.0;0.0
152.0;2020-07-17 12:45:03;45.50995;-73.59199333;4;27.0;249.30555555555557;33.24074074074073;44.1;33.24074074074073;1.952962962962963;1.952962962962963;0.7001212247494925;5.743106855463892;1.1294117647058823;-1.0333333333333334;1.087037037037037;0.0;0.7407407407407407;0.25925925925925924;0.0;0.0
153.0;2020-07-17 12:45:30;45.50681667;-73.59236333;4;21.0;247.02777777777777;42.34761904761904;46.6;42.34761904761904;0.22380952380952382;0.22380952380952382;0.038272207994338454;3.8627217150111948;0.9500000000000001;-0.9533333333333331;0.951904761904762;0.0;0.9047619047619048;0.09523809523809523;0.0;0.0
154.0;2020-07-17 12:45:51;45.50358;-73.59390667;4;36.0;247.75;24.774999999999995;37.3;24.774999999999995;0.9848611111111109;0.9848611111111109;0.9639068465003029;8.525671318352089;2.8882352941176475;-2.888235294117647;9.696111111111115;0.0;0.9444444444444444;0.027777777777777776;0.027777777777777776;0.0
155.0;2020-07-17 12:46:27;45.50158833;-73.59789833;4;32.0;250.36111111111117;28.474193548387092;35.4;28.474193548387092;0.5429032258064517;0.5429032258064517;0.7063046724484984;6.704723098529653;1.7692307692307696;-1.6375;4.691612903225806;0.0;0.9375;0.0625;0.0;0.0
156.0;2020-07-17 12:46:59;45.498884999999994;-73.60119167;4;31.0;253.1388888888889;29.39677419354838;38.5;29.39677419354838;0.5254838709677417;0.5254838709677417;0.632802437361917;8.412826868180428;2.0785714285714283;-1.8000000000000005;4.523548387096777;0.0;0.8387096774193549;0.16129032258064516;0.0;0.0
157.0;2020-07-17 12:47:30;45.49590167;-73.60432333;4;29.0;250.33333333333334;31.07586206896551;37.3;31.07586206896551;0.8425862068965521;0.8425862068965521;0.8315160644973982;6.016801189313479;2.29;-1.942857142857143;4.745172413793104;0.0;0.8275862068965517;0.1724137931034483;0.0;0.0
158.0;2020-07-17 12:47:59;45.49604167;-73.60906833;4;25.0;249.75000000000006;35.964;38.5;35.964;0.5779999999999998;0.5779999999999998;0.5420927811116224;1.4502528515170494;1.45;-0.6692307692307692;0.8423999999999997;0.0;0.76;0.24;0.0;0.0
159.0;2020-07-17 12:48:24;45.49548833;-73.61404167;4;76.0;251.6666666666666;11.921052631578945;34.2;19.276595744680847;0.28828947368421043;0.28828947368421043;0.28607755665387763;13.108036372541067;1.3636363636363635;-1.8173913043478263;1.8078947368421054;0.3815789473684211;0.4473684210526316;0.09210526315789473;0.4605263157894737;0.0
160.0;2020-07-17 12:49:40;45.495635;-73.618635;4;89.0;250.80555555555551;10.144943820224718;26.7;13.085507246376812;0.432808988764045;0.432808988764045;0.45647609905579173;9.487755401233011;2.030434782608696;-1.4470588235294122;2.5648314606741596;0.2247191011235955;0.6404494382022472;0.056179775280898875;0.30337078651685395;0.0
161.0;2020-07-17 12:51:09;45.49284667;-73.621445;4;156.0;250.52777777777763;5.77483870967742;19.9;7.397520661157026;0.27529032258064506;0.27529032258064506;0.14313992644298465;5.892969546096358;1.5343750000000005;-1.080434782608696;1.0976774193548384;0.21794871794871795;0.5064102564102564;0.0;0.4935897435897436;0.0
162.0;2020-07-17 12:53:45;45.491234999999996;-73.62293833;4;119.0;245.2222222222222;7.4184873949579835;30.4;15.220689655172414;0.5285294117647057;0.5285294117647057;0.609166683147093;9.6902271788324;2.2192307692307693;-1.4538461538461542;1.8975630252100855;0.5126050420168067;0.4369747899159664;0.03361344537815126;0.5294117647058824;0.0
163.0;2020-07-17 12:55:44;45.49402;-73.61997833;4;341.0;252.8055555555556;2.7167164179104475;23.0;10.70705882352941;0.23302686567164266;0.23302686567164266;0.18385311077581204;5.13480153371072;1.4968750000000002;-1.4272727272727275;0.640626865671642;0.750733137829912;0.23460410557184752;0.0;0.7653958944281525;0.0
164.0;2020-07-17 13:01:25;45.49422833;-73.62287833;4;103.0;252.08333333333343;8.811764705882347;16.8;9.664516129032252;0.4987745098039213;0.4987745098039213;0.33845999242529334;4.24243751431891;1.8657142857142857;-1.5095238095238097;2.7540196078431394;0.08737864077669903;0.7572815533980582;0.0;0.24271844660194175;0.0
165.0;2020-07-17 13:03:08;45.49309333;-73.62081500000001;4;53.0;245.52777777777777;16.67735849056604;31.1;18.038775510204083;0.9508490566037735;0.9508490566037735;0.8113466582508748;10.030427583290177;3.0041666666666664;-2.704999999999999;8.456603773584908;0.07547169811320754;0.8301886792452831;0.07547169811320754;0.09433962264150944;0.0
166.0;2020-07-17 13:04:01;45.496055;-73.61811999999999;4;81.0;248.3611111111112;10.997499999999995;30.4;12.568571428571422;0.5846875;0.5846875;0.6247259367469097;8.28303092266489;2.278787878787878;-2.6214285714285714;5.872750000000003;0.12345679012345678;0.7654320987654321;0.012345679012345678;0.2222222222222222;0.0
167.0;2020-07-17 13:05:22;45.49853333;-73.619325;4;85.0;253.02777777777789;10.716470588235294;32.9;10.844047619047618;0.560735294105882;0.560735294105882;0.44423659720390773;9.639574272594343;1.5359375000000002;-1.7093750000000005;2.8254411764705907;0.011764705882352941;0.7529411764705882;0.03529411764705882;0.21176470588235294;0.0
168.0;2020-07-17 13:06:47;45.502959999999995;-73.61383167;4;49.0;249.22222222222226;18.31020408163265;32.3;19.504347826086956;0.8516326530612246;0.8516326530612246;0.7031516756088722;9.60115541870611;2.5608695652173914;-2.6166666666666667;6.79714285714286;0.061224489795918366;0.8367346938775511;0.08163265306122448;0.08163265306122448;0.0
169.0;2020-07-17 13:07:36;45.50020333;-73.61471;4;44.0;249.52777777777777;20.415909090909086;31.1;20.8906976744186;0.3502272727272727;0.3502272727272727;0.35364210417249786;9.171592724702858;2.033333333333333;-1.83;4.392272727272728;0.022727272727272728;0.8636363636363636;0.11363636363636363;0.022727272727272728;0.0
